stratum,query,expected,got,parsed_ok,correct,hallucinated,latency_s,raw
direct,Take this to the kitchen.,n3,n3,True,True,False,48.31,"{""node_id"": ""n3"", ""reason"": ""The kitchen is directly connected to the corridor, which is connected to the lobby.""}"
direct,Go to office A.,n4,n4,True,True,False,6.69,"{""node_id"": ""n4"", ""reason"": ""Office A is located in the same building.""}"
direct,Deliver to the lobby.,n1,n1,True,True,False,6.13,"{""node_id"": ""n1"", ""reason"": ""Robot is already at the lobby.""}"
direct,Head to office B please.,n5,n5,True,True,False,6.75,"{""node_id"": ""n5"", ""reason"": ""Office B is directly connected to the corridor.""}"
direct,Move to the corridor.,n2,n2,True,True,False,6.63,"{""node_id"": ""n2"", ""reason"": ""The corridor is directly connected to the lobby.""}"
attribute,Go to the nearest charging dock.,n6,n6,True,True,False,7.28,"{""node_id"": ""n6"", ""reason"": ""The nearest charging dock is directly connected to the lobby.""}"
relational,Which room is connected to office A?,n2,n2,True,True,False,7.32,"{""node_id"": ""n2"", ""reason"": ""The room connected to office A is the corridor.""}"
relational,Take this to the room next to the kitchen.,n2,n4,True,False,False,7.52,"{""node_id"": ""n4"", ""reason"": ""The room next to the kitchen is office A.""}"
attribute,Go to the room where people eat.,n3,n3,True,True,False,6.58,"{""node_id"": ""n3"", ""reason"": ""The kitchen is where people eat.""}"
attribute,Find the place the robot charges.,n6,n6,True,True,False,6.86,"{""node_id"": ""n6"", ""reason"": ""The charging dock is located at the lobby.""}"
ungroundable,Take this to the server room.,,n4,True,False,True,7.18,"{""node_id"": ""n4"", ""reason"": ""The server room is located in the office A.""}"
ungroundable,Deliver to the third floor conference hall.,,,True,True,False,7.93,"{""node_id"": null, ""reason"": ""No node with label 'third floor conference hall' found in the map.""}"
ungroundable,Go to the loading bay.,,,True,True,False,7.24,"{""node_id"": null, ""reason"": ""No node with label 'loading bay' found in the map.""}"
ungroundable,Bring it to Dr. Rahman's laboratory.,,,True,True,False,6.33,"{""node_id"": null, ""reason"": ""No laboratory node found in the map.""}"
ungroundable,Head to the rooftop garden.,,,True,True,False,6.75,"{""node_id"": null, ""reason"": ""Rooftop garden not found in the map.""}"
