# git_commit: 8a1f94c
# timestamp: 2026-08-31T17:50:09+00:00
# mode: full
# split: tuning
# seed: 0
# prompt_version: resolve_v1
# dataset_sample: 400
# loaded_plans: 358
# n_per_stratum: 200
# n_queries: 186
# models: openai/gpt-oss-20b
# token_budget: 400
# threshold: 0.6
# main_grid: (1,False);(1,True);(2,True);(3,True)
# encoding_grid: structured(main);relational;natural
# khop_grid: 2(main);1;3;inf
config_id,grid,model,provider,n_max,verify_enabled,encoding,k_hop,token_budget,threshold,prompt_version,query_id,plan_id,stratum,expected,final_node_id,abstained,correct,attempts,last_failed_predicate,subgraph_tokens,prompt_tokens,completion_tokens,latency_s,widened,verify_predicates,current_node
openai/gpt-oss-20b|main|n1|v1|estructured|k2,main,openai/gpt-oss-20b,groq,1,True,structured,2,400,0.6,resolve_v1,q024b5d96a78d,35cb37263bc0ab3b6edf66c925bd94d3,relational,r1,,True,False,1,parse,261,710,200,2.0749,False,"node_exists,relation_holds,reachable",r3
openai/gpt-oss-20b|main|n1|v1|estructured|k2,main,openai/gpt-oss-20b,groq,1,True,structured,2,400,0.6,resolve_v1,q04a99b25b765,47bdd129cd7db6586253611c607dd645,direct,r0,r0,False,True,1,,160,576,196,0.6738,False,"node_exists,grounded,reachable",r5
openai/gpt-oss-20b|main|n1|v1|estructured|k2,main,openai/gpt-oss-20b,groq,1,True,structured,2,400,0.6,resolve_v1,q053cf3127d6e,10cd7a30a38569c00654cdadb027ce35,direct,r2,r2,False,True,1,,102,498,119,0.6464,False,"node_exists,grounded,reachable",r2
openai/gpt-oss-20b|main|n1|v1|estructured|k2,main,openai/gpt-oss-20b,groq,1,True,structured,2,400,0.6,resolve_v1,q05dee0464db7,a4e27fdb6c9eb634a1e400a6794debc0,relational,r2,,True,False,1,parse,180,597,200,0.7163,False,"node_exists,relation_holds,reachable",r2
openai/gpt-oss-20b|main|n1|v1|estructured|k2,main,openai/gpt-oss-20b,groq,1,True,structured,2,400,0.6,resolve_v1,q07604ca58cca,7033cfb441c3c0ba321c10fd885b6d1b,attribute,r5,,True,False,1,parse,338,806,200,0.6304,False,"node_exists,grounded,reachable",r13
openai/gpt-oss-20b|main|n1|v1|estructured|k2,main,openai/gpt-oss-20b,groq,1,True,structured,2,400,0.6,resolve_v1,q078c2c67e757,06467498bad2334a09ff2b66be8b4423,ungroundable_far,,,True,True,1,parse,174,599,200,0.6967,False,"node_exists,grounded,reachable",r2
openai/gpt-oss-20b|main|n1|v1|estructured|k2,main,openai/gpt-oss-20b,groq,1,True,structured,2,400,0.6,resolve_v1,q0879afe9fb80,6d18c6358746dc575dc3634f5df4b856,attribute,r3,r3,False,True,1,,140,547,148,0.6131,False,"node_exists,grounded,reachable",r0
openai/gpt-oss-20b|main|n1|v1|estructured|k2,main,openai/gpt-oss-20b,groq,1,True,structured,2,400,0.6,resolve_v1,q09b717ab47da,2a34224a3673c72ce00e5bbeed8a9327,relational,r0,,True,False,1,parse,225,674,200,0.6110,False,"node_exists,relation_holds,reachable",r0
openai/gpt-oss-20b|main|n1|v1|estructured|k2,main,openai/gpt-oss-20b,groq,1,True,structured,2,400,0.6,resolve_v1,q0c43f519ac59,fbde5783e7d3fdc191d153c3d2929747,attribute,r11,r11,False,True,1,,317,781,193,0.7145,False,"node_exists,grounded,reachable",r1
openai/gpt-oss-20b|main|n1|v1|estructured|k2,main,openai/gpt-oss-20b,groq,1,True,structured,2,400,0.6,resolve_v1,q0c8b4c6fb70c,5e3fb1470a5daa8c0acc62089d72e614,relational,r4,,True,False,1,parse,241,681,200,5.1150,False,"node_exists,relation_holds,reachable",r0
openai/gpt-oss-20b|main|n1|v1|estructured|k2,main,openai/gpt-oss-20b,groq,1,True,structured,2,400,0.6,resolve_v1,q1060ec7ed353,34f53e5535be38719f46c39fc563aef7,attribute,r0,,True,False,1,parse,216,650,200,7.1672,False,"node_exists,grounded,reachable",r4
openai/gpt-oss-20b|main|n1|v1|estructured|k2,main,openai/gpt-oss-20b,groq,1,True,structured,2,400,0.6,resolve_v1,q117dba9de1ed,97fddc733383f61d663ef4d5aac62133,relational,r1,,True,False,1,parse,258,711,200,6.1423,False,"node_exists,relation_holds,reachable",r4
openai/gpt-oss-20b|main|n1|v1|estructured|k2,main,openai/gpt-oss-20b,groq,1,True,structured,2,400,0.6,resolve_v1,q11b7e74227f6,8cea32e2c093067febf07f6247b7b2a3,attribute,r1,,True,False,1,parse,242,693,200,6.9634,False,"node_exists,grounded,reachable",r1
openai/gpt-oss-20b|main|n1|v1|estructured|k2,main,openai/gpt-oss-20b,groq,1,True,structured,2,400,0.6,resolve_v1,q12b3cdb99a9f,47bdd129cd7db6586253611c607dd645,relational,r2,,True,False,1,parse,196,626,200,5.9511,False,"node_exists,relation_holds,reachable",r5
openai/gpt-oss-20b|main|n1|v1|estructured|k2,main,openai/gpt-oss-20b,groq,1,True,structured,2,400,0.6,resolve_v1,q14254f35ff76,cd3e971d383bd7c89240b1a08d8a6333,relational,r17,,True,False,1,parse,227,661,200,6.7407,False,"node_exists,relation_holds,reachable",r12
openai/gpt-oss-20b|main|n1|v1|estructured|k2,main,openai/gpt-oss-20b,groq,1,True,structured,2,400,0.6,resolve_v1,q1629294b6b4f,f08fd73dc6aa84c92e6dafc67ed5dc2e,ungroundable_far,,,True,True,1,parse,304,773,200,6.8683,False,"node_exists,grounded,reachable",r3
openai/gpt-oss-20b|main|n1|v1|estructured|k2,main,openai/gpt-oss-20b,groq,1,True,structured,2,400,0.6,resolve_v1,q164339303a57,fbde5783e7d3fdc191d153c3d2929747,attribute,r5,r5,False,True,1,,321,791,141,7.9529,False,"node_exists,grounded,reachable",r1
openai/gpt-oss-20b|main|n1|v1|estructured|k2,main,openai/gpt-oss-20b,groq,1,True,structured,2,400,0.6,resolve_v1,q16d4b27857e2,159608a2a797001201c207c124e183c1,attribute,r7,r7,False,True,1,,269,718,106,6.0165,False,"node_exists,grounded,reachable",r0
openai/gpt-oss-20b|main|n1|v1|estructured|k2,main,openai/gpt-oss-20b,groq,1,True,structured,2,400,0.6,resolve_v1,q17fdad2b207d,8bf09167b4051f10ff033acae603157c,relational,r1,,True,False,1,parse,102,500,200,5.0664,False,"node_exists,relation_holds,reachable",r1
