# git_commit: 8a1f94c
# timestamp: 2026-08-29T09:27:30+00:00
# mode: pilot
# split: tuning
# seed: 0
# prompt_version: resolve_v1
# dataset_sample: 400
# loaded_plans: 358
# n_per_stratum: 200
# n_queries: 186
# models: llama3.2:3b
# token_budget: 400
# threshold: 0.6
# main_grid: (1,False);(1,True);(2,True);(3,True);(5,True)
# encoding_grid: structured(main);relational;natural
# khop_grid: 2(main);1;3;inf
config_id,grid,model,provider,n_max,verify_enabled,encoding,k_hop,token_budget,threshold,prompt_version,query_id,plan_id,stratum,expected,final_node_id,abstained,correct,attempts,last_failed_predicate,subgraph_tokens,prompt_tokens,completion_tokens,latency_s,widened,current_node
llama3.2:3b|main|n1|v0|estructured|k2,main,llama3.2:3b,ollama,1,False,structured,2,400,0.6,resolve_v1,q024b5d96a78d,35cb37263bc0ab3b6edf66c925bd94d3,relational,r1,r0,False,False,1,,261,659,41,26.8226,False,r3
llama3.2:3b|main|n1|v0|estructured|k2,main,llama3.2:3b,ollama,1,False,structured,2,400,0.6,resolve_v1,q04a99b25b765,47bdd129cd7db6586253611c607dd645,direct,r0,r0,False,True,1,,160,525,41,16.1964,False,r5
llama3.2:3b|main|n1|v0|estructured|k2,main,llama3.2:3b,ollama,1,False,structured,2,400,0.6,resolve_v1,q053cf3127d6e,10cd7a30a38569c00654cdadb027ce35,direct,r2,r2,False,True,1,,102,449,39,10.9617,False,r2
llama3.2:3b|main|n1|v0|estructured|k2,main,llama3.2:3b,ollama,1,False,structured,2,400,0.6,resolve_v1,q05dee0464db7,a4e27fdb6c9eb634a1e400a6794debc0,relational,r2,r2,False,True,1,,180,547,39,14.3102,False,r2
llama3.2:3b|main|n1|v0|estructured|k2,main,llama3.2:3b,ollama,1,False,structured,2,400,0.6,resolve_v1,q07604ca58cca,7033cfb441c3c0ba321c10fd885b6d1b,attribute,r5,r5,False,True,1,,338,753,40,23.5774,False,r13
llama3.2:3b|main|n1|v0|estructured|k2,main,llama3.2:3b,ollama,1,False,structured,2,400,0.6,resolve_v1,q078c2c67e757,06467498bad2334a09ff2b66be8b4423,ungroundable_far,,r3,False,False,1,,174,547,39,14.2262,False,r2
llama3.2:3b|main|n1|v0|estructured|k2,main,llama3.2:3b,ollama,1,False,structured,2,400,0.6,resolve_v1,q0879afe9fb80,6d18c6358746dc575dc3634f5df4b856,attribute,r3,r3,False,True,1,,140,496,39,12.6232,False,r0
llama3.2:3b|main|n1|v0|estructured|k2,main,llama3.2:3b,ollama,1,False,structured,2,400,0.6,resolve_v1,q09b717ab47da,2a34224a3673c72ce00e5bbeed8a9327,relational,r0,r1,False,False,1,,225,622,43,17.9235,False,r0
llama3.2:3b|main|n1|v0|estructured|k2,main,llama3.2:3b,ollama,1,False,structured,2,400,0.6,resolve_v1,q0c43f519ac59,fbde5783e7d3fdc191d153c3d2929747,attribute,r11,r11,False,True,1,,317,730,38,22.5073,False,r1
llama3.2:3b|main|n1|v0|estructured|k2,main,llama3.2:3b,ollama,1,False,structured,2,400,0.6,resolve_v1,q0c8b4c6fb70c,5e3fb1470a5daa8c0acc62089d72e614,relational,r4,r3,False,False,1,,241,632,41,17.4049,False,r0
