# git_commit: 8a1f94c
# timestamp: 2026-08-31T19:32:51+00:00
# mode: full
# split: tuning
# seed: 0
# prompt_version: resolve_v1
# functional_version: functional_v1
# dataset_sample: 400
# loaded_plans: 358
# n_per_stratum: 800
# n_queries: 153
# models: llama3.2:3b
# token_budget: 400
# threshold: 0.6
# main_grid: (1,False);(1,True);(2,True);(3,True)
# encoding_grid: structured(main);relational;natural
# khop_grid: 2(main);1;3;inf
config_id,grid,model,provider,n_max,verify_enabled,encoding,k_hop,token_budget,threshold,prompt_version,query_id,plan_id,stratum,expected,final_node_id,abstained,correct,attempts,last_failed_predicate,subgraph_tokens,prompt_tokens,completion_tokens,latency_s,widened,verify_predicates,current_node
llama3.2:3b|main|n1|v1|estructured|k2,main,llama3.2:3b,ollama,1,True,structured,2,400,0.6,resolve_v1,q0271c44f9624,51e186e9fe1096ea5929d2800510afe2,functional,r1,r1,False,True,1,,261,664,37,35.4088,False,"node_exists,reachable",r2
llama3.2:3b|main|n1|v1|estructured|k2,main,llama3.2:3b,ollama,1,True,structured,2,400,0.6,resolve_v1,q029d8a17d13f,f8ad712526cf1190f90ff553fc7f202b,functional,r3,r2,False,False,1,,249,648,38,18.9355,False,"node_exists,reachable",r0
llama3.2:3b|main|n1|v1|estructured|k2,main,llama3.2:3b,ollama,1,True,structured,2,400,0.6,resolve_v1,q05a6fed82a75,51e186e9fe1096ea5929d2800510afe2,functional,r0,r2,False,False,1,,229,628,38,13.0781,False,"node_exists,reachable",r2
llama3.2:3b|main|n1|v1|estructured|k2,main,llama3.2:3b,ollama,1,True,structured,2,400,0.6,resolve_v1,q0da6d22e7ba7,006d330fcffd2c0979fbc1677e6f00f9,functional,r1,r6,False,False,1,,119,467,42,11.7910,False,"node_exists,reachable",r6
llama3.2:3b|main|n1|v1|estructured|k2,main,llama3.2:3b,ollama,1,True,structured,2,400,0.6,resolve_v1,q1207de9813e3,e778c9d8c08ab430fa5240f09b10d753,functional,r3,r3,False,True,1,,194,568,43,16.4939,False,"node_exists,reachable",r3
llama3.2:3b|main|n1|v1|estructured|k2,main,llama3.2:3b,ollama,1,True,structured,2,400,0.6,resolve_v1,q126dbfefaa00,547247049170181bd997fb5c0d810433,functional,r2,r2,False,True,1,,174,551,41,15.3754,False,"node_exists,reachable",r1
llama3.2:3b|main|n1|v1|estructured|k2,main,llama3.2:3b,ollama,1,True,structured,2,400,0.6,resolve_v1,q127e32c5c069,bebedcde2910afd63def561f3fdfdc28,functional,r8,r2,False,False,1,,287,699,43,21.7078,False,"node_exists,reachable",r2
llama3.2:3b|main|n1|v1|estructured|k2,main,llama3.2:3b,ollama,1,True,structured,2,400,0.6,resolve_v1,q138649a4255d,e0df9684a7eb9c98cce5a05774cc428a,functional,r4,r4,False,True,1,,145,500,43,13.4682,False,"node_exists,reachable",r5
llama3.2:3b|main|n1|v1|estructured|k2,main,llama3.2:3b,ollama,1,True,structured,2,400,0.6,resolve_v1,q14c46e36f24b,0fa3734f861d70658ddf2f8f8b998349,functional,r3,d0,False,False,1,,107,457,40,11.1398,False,"node_exists,reachable",r0
llama3.2:3b|main|n1|v1|estructured|k2,main,llama3.2:3b,ollama,1,True,structured,2,400,0.6,resolve_v1,q197fa4862e3b,5853a17ba4b1c798cf802b458c675fce,functional,r1,r1,False,True,1,,107,457,47,11.0231,False,"node_exists,reachable",r0
